form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-6ae5e72ab115410c96d5f78850dd8a05,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-913002d1c3a24ebf9aadc501b5e6e0db,2017-05-21,Aerial,0,,,,,Christina
rec-0edd7cebc0444825875f71c2ab421c61,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-913002d1c3a24ebf9aadc501b5e6e0db,2017-10-05,Aerial,0,,,,,Christina
rec-145f2373b7474c3eb74303f464217291,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-913002d1c3a24ebf9aadc501b5e6e0db,2018-05-12,Aerial,0,,,,,Christina
rec-e7a8a9d79664466a8df78a304cadc3fc,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-79fc08013ec443d79b02e6836ef286d4,2019-09-13,Capture,0,,,,,Elaine
rec-77feafac58874d06bc3c21f4af8e0bb2,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-79fc08013ec443d79b02e6836ef286d4,2020-05-25,Aerial,0,,,,,Elaine
rec-be55a88ed7fc465aad1ca802e7574f17,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-79fc08013ec443d79b02e6836ef286d4,2021-05-13,Aerial,2,COY,1,,2,Elaine
rec-dfd7e0282db34c81bdce3962213db232,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-79fc08013ec443d79b02e6836ef286d4,2022-05-24,Aerial,2,1YO,1,,,Elaine
rec-9f2a65a8fd154849aa8c2588d9dd75ea,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-9439522ebe724e488b8a1c1af7add2eb,2017-09-15,"Capture, RemoteCamera",0,,,,,Emma
rec-c8654a65bc6747cb88658cceb9162cdb,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-9439522ebe724e488b8a1c1af7add2eb,2018-05-12,Aerial,1,COY,1,,,Emma
rec-59ec9336dbe74d149504ab718e34e33f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-8f1399bf992d4baeaaad3260e1058171,2020-09-25,Capture,1,2YO,1,,1,Esme 
rec-3f52c57f65114c3abe16d2669a31b085,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-8f1399bf992d4baeaaad3260e1058171,2021-05-13,Aerial,1,3YO,1,,,Esme 
