form_record_id,parent_form_id,parent_field_id,parent_record_id,Set,Removed,Number of Signs
rec-7e0a19881b9d41be9a28c43214d02ed8,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-e68e67b0f44641099ae0e9153e1a5a7b,2021-09-16,2021-09-26,4
rec-3c24d84bd2fd4b028bca5a54aecbae9e,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-b8373c1cc2af4024b39456602f1dd1a2,2018-09-18,2018-09-21,
rec-0a2844e4dc4d43bc9b97123274c34321,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-55e47c5cf3f04e6b9f066fe4619ff8df,2016-09-23,2016-09-24,
rec-b8d10ab86ca645bb9c4325e384ec6679,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-46ae452b217a47dcadd917b94d133dd5,2019-09-22,2019-09-25,
rec-0e3c914fef5942f6bef94167aa1d982b,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-46ae452b217a47dcadd917b94d133dd5,2020-09-17,2020-09-25,3
rec-e497361cbda341079bbd89d2042b202d,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-46ae452b217a47dcadd917b94d133dd5,2021-09-21,2021-09-27,3
rec-85ac78e48cae48759b7d27c4f985bc5f,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-a07a3107b20b4bba938f0484fd693249,2018-09-17,2018-09-18,
rec-ca4d276a644c4066881ff437fa5258e9,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-83c91b5311dc4636abe544ae09306a13,2018-09-17,2018-09-26,
rec-466a925384744fadac61be845a402102,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-83c91b5311dc4636abe544ae09306a13,2019-09-10,2019-09-24,
rec-dc07373eb1ab42b5837985dbb318c936,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-83c91b5311dc4636abe544ae09306a13,2020-09-22,2020-09-29,5
rec-5b9a94eac23e4dddb09172563cb65d26,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-f377382c743d44378c9d03c4fcbe3cde,2018-05-04,2018-05-19,
rec-e9caaf41c8804da9a606c843acc9686e,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-c05e671098cf44dcb3c5137ef050d146,2017-04-27,2017-05-05,
rec-59449d78849c4b0fad46f113e4ff203b,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-c05e671098cf44dcb3c5137ef050d146,2017-05-16,,
rec-0d36a0e7fe644172afd00a4e9c23422c,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-9d61268f1dce446391cdfa8e0a0e2a02,2016-09-22,2016-09-24,
rec-03c5477fa32f4267ad6c71d8d9cb6951,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-e8894b61e30146a9963af8f440ff7b43,2018-05-16,2018-05-22,
rec-cd4d2eaa2c3c466fbe56f54d7527a2b1,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-9e231bd759ea4ce18d7365360f31f592,2018-05-04,,
rec-c87d79040907423cbf43f6be391978d3,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-b46c1d8ca941481db1700954b1003e22,2018-04-19,2018-05-18,
rec-fb0cd983b6294805b9eb079d27ce3bec,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-b46c1d8ca941481db1700954b1003e22,2018-09-17,2018-09-26,
rec-781be553289243f0b93c807b30067d25,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-9f2a8ece185d4c7abb14275fa4eff610,2019-09-10,2019-09-17,
rec-64775263fb424e8eae075258f64ee9dc,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-052813ce873b448986b1b56724a44fd4,2016-10-02,2016-10-03,
rec-ef02d69d3d7940f283eadb729ada5a6a,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-725c84a78a664e44b1d0a6bb3d08dade,2018-09-27,2018-09-29,
rec-c604be4067d84624b418d7a3e6af601b,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-424ac7f86e0e42f091991084eb9e24ba,2018-09-17,2018-09-26,
