Bear #,Capture ID,WLH ID,WGI ID,Species,Sex,Age Estimate,Tooth Age,Weight (kg),Bear Photo,Capture Reason,Date and Time,Surveyors,Location (latitude),Location (longitude),Location comments,Capture Type,Other Bears at Site?,Collar Brand,Collar Color,Collar Number,L Ear Tag #,L Ear Tag Color,R Ear Tag #,R Ear Tag Color,Neck Size,Snout to Vent Length (natural contours),Snout to Vent Length (straight line),Zoo Length,Chest Girth,Zygomatic Width,Zygomatic Length,Percent Body Fat (grizzly only),GPS Transmit End Date,GPS Transmit End Reason,GPS Data End Date (if different than transmit date),VHF Transmit End Date,VHF Transmit End Reason,Other Detection Date,Other Detection Reason,Fate unknown?
EVGF94,JimmySis,,23937,Grizzly Bear,F,2,,45.8,4D9D2750-B430-4C59-BA06-2980319C92FA.jpg; AA185B62-2EBB-43EC-B9C5-8B8C1FD1D054.jpg,Research,2019-05-09 15:14,"Pat Stent, Garth Mowat, Clay Wilson",49.983083,-114.888387,600 m SE of EVGF93 (JimmyMom),Helicopter,Yes,Follow It,Black,6641,94,Black,94,Black,43.2,136,118,146,84,14.5,,,2019-05-10,Slipped,,2019-05-10,Slipped,,,No
EVGF95,Amelie,,cl-Amelie,Grizzly Bear,F,15,,110,7F0BA42E-DFB9-44D8-9C0E-7A84DC42D229~L0~001.jpeg,Research,2019-08-23 16:51,"Bruce McLellan, Clay Wilson, Garth Mowat",49.428901,-115.216915,Sand Creek (northwest face),Helicopter,Yes,Follow It,Black,6053,,,402,Red,59,163,147,,98,,,15.85090635,2021-08-23,Blown off,,2021-08-23,Blown off,,,No
EVGF96,Elaine,,10826-c,Grizzly Bear,F,15,16,113,554550B0-240E-49F8-9608-5CFBF6A03DAF.jpg; 2184B7DC-556E-47CD-878A-EBDD7E3DA90E.jpg; 8EF5442E-3DD5-4837-A954-2837E0354954.jpg; A2524B73-0D0A-4A37-89A6-3477CD5B0E6F.jpg,Research,2019-09-13 10:22,"Clayton Lamb, Laura Smit",49.579025,-115.027283,Hartley Lake Road,Leg Snare,No,Vectronic,Black,39688,96,Black,96,Black,56,170,147,,97,18.5,,,,,,,,,,No
EVGF97,Willow,,12496,Grizzly Bear,F,11,11,153,6281BDD1-B839-418D-A782-53D1AA6BC629.jpg,Research,2019-09-24 8:21,"Clayton Lamb, Laura Smit",49.355726,-115.000707,Morrissey (NCC Meadow),Leg Snare,No,Follow It,Black,6276,97,Black,97,Black,,171,154,,,,,35.65619251,2021-10-06,Mortality,,2021-10-06,Mortality,,,No
EVGF97,Willow,,12496,Grizzly Bear,F,11,11,153,2808D176-F81C-4FAF-9CE4-89508820DE6E.jpg,Research,2019-09-14 8:33,"Clayton Lamb, Laura Smit, Stu Clow",49.355679,-115.000691,Morrissey (NCC Meadow),Leg Snare,No,Follow it,Black,6276,97,Black,97,Black,61.5,171,154,,107,19.8,,,2019-09-24,Replaced/Recaptured,,2019-09-24,Replaced/Recaptured,,,No
EVGF102,Polly,,17315,Grizzly Bear,F,10,10,112,23808B42-8476-4458-B3DD-68CDA4B1273C.jpg; CD93F330-DD7C-49D6-93E0-5CF4F962F91A.jpg,Research,2019-09-21 8:34,"Clayton Lamb, Laura Smit, Jeff Piwek",49.657812,-114.903573,Hosmer Powerline Overpass ,Leg Snare,Yes,Follow It ,Black,6057,102,Black,102,Black,58,162,152,,97,19,,26.42851679,2020-11-18,Connection failure,,2020-11-18,Connection failure,2021-05-14,Visual,No
EVGF104,Marilyn,,cl-Marilyn,Grizzly Bear,F,4,5,85,0D0C8074-F4DE-4BC7-8BAE-851E207A5DEB.jpg; 83F644B1-6597-4B6A-80F6-AF587698009B.jpg,Research,2019-09-22 8:58,"Clayton Lamb, Laura Smit",49.657127,-114.729435,Alexander Gun Range,Leg Snare,No,Follow It,Black,6275,104,Black,104,Black,51,154,145,,82,17.1,,26.98503378,2020-06-07,Mortality,,2020-06-07,Mortality,,,No
EVGF107,Ada,,cl-Ada,Grizzly Bear,M,6,7,139,E0F5A7CB-DBA4-4226-B100-C0449CD3F41A.jpg,Research,2020-09-23 8:19,"Clayton Lamb, Laura Smit",49.657985,-114.903376,Hosmer Overpass,Leg Snare,No,Vectronic,Black,42581,107,Black,107,Black,61,180,154,,103.5,18.8,,27.83837595,,,,,,,,No
EVGF109,Esme,,21424,Grizzly Bear,F,8,9,118,12322A64-F748-41D4-ADC4-418D4AD7B751.jpg; 4FC52B10-1671-4D31-BEE2-9CEF940CBB17.jpg; 504B5B87-DCF6-4ADB-8FD4-B461B7606A6A.jpg,Research,2020-09-25 9:45,"Clayton Lamb, Laura Smit, Ryan Gordon",49.675155,-114.785021,Michel Fish Hole ,Leg Snare,Yes,Follow It,Black,6275,109,Black,109,Black,58,173,159,,95,19.2,,22.70794631,2021-09-13,Replaced/Recaptured,,2021-09-13,Replaced/Recaptured,,,No
EVGF109,Esme,,21424,Grizzly Bear,F,9,10,136,B34BB316-F28E-48EF-84F7-2DABF252B222.jpg,Research,2021-09-13 13:59,"Clayton Lamb, Garth Mowat, Taylor Wilson",49.615924,-114.794546,Corbin,Helicopter,No,Vectronic,Black,45783,109,Black,109,Black,62.5,166,153,179,104,20,36,32.18449796,,,,,,,,No
EVGF111,EVGF111,,cl-EVGF111,Grizzly Bear,F,0,,,MelissaAndCOYs_16Oct2020.jpg,Management,2020-10-16 11:12,"Clayton Lamb, Jeff Piwek, Trish Burley",49.93876,-114.909916,"4100 Hwy 43, at a farm.",Free Range,Yes,,,,4496,Yellow,4490,Yellow,,,,,,,,,,,,,,,,No
EVGF112,EVGF112,,cl-EVGF112,Grizzly Bear,F,0,,,MelissaAndCOYs_16Oct2020.jpg,Management,2020-10-16 11:12,"Clayton Lamb, Jeff Piwek, Trish Burley",49.93876,-114.909916,"4100 Hwy 43, at a farm.",Free Range,Yes,,,,4500,Yellow,4489,Yellow,,,,,,,,,,,,,,,,No
EVGF115,Patty,21-3138,,Grizzly Bear,F,3,2,90,201A92A1-FA76-486D-AA94-B4FAB0506FE3.jpg,Research,2021-09-24 8:44,"Clayton Lamb, Laura Smit",49.607458,-114.936207,Hosmer Butcher Dump,Leg Snare,No,Vectronic,Black,80071,115,Black,115,Black,52.5,152,137,,81.5,16.1,30,20.328865,2021-11-07,Replaced/Recaptured,,2021-11-07,Replaced/Recaptured,,,No
EVGF115,Patty,21-3138,,Grizzly Bear,F,3,2,,,Management,2021-11-07 12:49,Ryan Gordon,49.582869,-114.974381,"Same farm as Turkey caught day before. Released up Ladner Creek (49.6774600, -114.9310000) ",Culvert,No,Vectronic,Black,80071,115,Black,115,Black,,,,,,,,,2022-10-25,Mortality,2022-10-25,2022-10-25,Mortality,,,No
