form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-5d157f012a2046dc8645bf8008e39d02,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-60fd2cc71e924535bd58e612dab3b507,Tooth,14922,cl-EV91
rec-5272867f53c448a2aebbb123f5a702d3,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a72158d239034a50988e76be693bf046,Hair,14919,cl-EV92
rec-f26dea7aa1a94bcab2a305f9219ecdb9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a72158d239034a50988e76be693bf046,Hair,14920,cl-EV93
rec-7730ece64d3a4d9e884bba37b9436899,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a72158d239034a50988e76be693bf046,Tissue,14918,cl-EV94
rec-13adc9dcda9f491794c235acddb4c452,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a72158d239034a50988e76be693bf046,Tooth,14904,cl-EV95
rec-592d31c4ecf3418c9aea40b767b5e6a9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4e21a73151324065bc9405d5ac9db8f2,Hair,14908,cl-EV99
rec-d8f9e311152d428bb809e51fb66c0892,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4e21a73151324065bc9405d5ac9db8f2,Hair,14907,cl-EV100
rec-707b6521ca144dc89f3d7d5280d4d27a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4e21a73151324065bc9405d5ac9db8f2,Tissue,14906,cl-EV101
rec-09aa5098025543a6bf2d94687d78280b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-4e21a73151324065bc9405d5ac9db8f2,Tooth,14905,cl-EV102
rec-aeb77fb981f74543bd7cc822e7516178,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ce9d493090b241f3bc6d86e67fe78749,Hair,1687,cl-EV265
rec-6a536fb8f4884b7087ef57b27ee03e36,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ce9d493090b241f3bc6d86e67fe78749,Tooth,1686,cl-EV266
rec-9ca92b3173ff484aa6f2162aeddac450,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-04c061a3378341839019ee9dfb554bdc,Hair,14512,cl-EV203
rec-8d78293f8496492296ad5432f20b1bf1,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Hair,15152,cl-EV158
